Target: FINCH

Observer: NapaneeImaging
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
14 Dec 2024 15:50:25.573    14 Dec 2024 15:51:17.072      51.499644597    
19 Dec 2024 03:17:41.230    19 Dec 2024 03:18:24.687      43.456810783    
20 Dec 2024 03:04:55.951    20 Dec 2024 03:06:17.897      81.945676776    
20 Dec 2024 16:10:04.229    20 Dec 2024 16:11:28.603      84.374349355    
21 Dec 2024 02:52:47.505    21 Dec 2024 02:53:34.753      47.247520206    
21 Dec 2024 15:57:37.024    21 Dec 2024 15:59:04.099      87.074824423    
27 Dec 2024 03:11:43.299    27 Dec 2024 03:12:58.253      74.953684676    
27 Dec 2024 16:17:03.382    27 Dec 2024 16:18:00.733      57.350333291    
28 Dec 2024 02:59:08.330    28 Dec 2024 03:00:26.592      78.262722376    
28 Dec 2024 16:04:12.764    28 Dec 2024 16:05:47.359      94.594849076    
29 Dec 2024 15:51:51.409    29 Dec 2024 15:53:00.198      68.789072544    
03 Jan 2025 03:17:52.024    03 Jan 2025 03:18:41.820      49.795182282    
04 Jan 2025 03:04:52.778    04 Jan 2025 03:06:19.929      87.151103618    
04 Jan 2025 16:10:06.991    04 Jan 2025 16:11:34.741      87.750162429    
05 Jan 2025 02:52:29.378    05 Jan 2025 02:53:22.922      53.544293472    
05 Jan 2025 15:57:25.490    05 Jan 2025 15:58:55.221      89.731037384    
11 Jan 2025 03:09:55.601    11 Jan 2025 03:11:21.175      85.574037954    
11 Jan 2025 16:15:18.354    11 Jan 2025 16:16:27.129      68.775358074    
12 Jan 2025 02:57:11.095    12 Jan 2025 02:58:31.042      79.946586583    
12 Jan 2025 16:02:18.346    12 Jan 2025 16:03:53.198      94.851191982    
13 Jan 2025 15:49:49.403    13 Jan 2025 15:50:43.487      54.083197145    
18 Jan 2025 03:14:14.541    18 Jan 2025 03:15:31.303      76.761782519    
18 Jan 2025 16:19:49.632    18 Jan 2025 16:20:19.181      29.548992938    
19 Jan 2025 03:01:12.825    19 Jan 2025 03:02:43.830      91.004851449    
19 Jan 2025 16:06:24.778    19 Jan 2025 16:07:56.359      91.581358016    
20 Jan 2025 02:48:54.824    20 Jan 2025 02:49:13.390      18.565862824    
20 Jan 2025 15:53:37.065    20 Jan 2025 15:54:51.547      74.481926020    
25 Jan 2025 03:17:46.950    25 Jan 2025 03:18:48.965      62.015973846    
26 Jan 2025 03:04:28.397    26 Jan 2025 03:06:03.245      94.847838487    
26 Jan 2025 16:09:40.763    26 Jan 2025 16:11:04.332      83.568848670    
27 Jan 2025 02:51:44.551    27 Jan 2025 02:52:43.499      58.947854675    
27 Jan 2025 15:56:38.126    27 Jan 2025 15:57:59.655      81.528279686    
01 Feb 2025 03:20:29.835    01 Feb 2025 03:21:11.299      41.463974328    
02 Feb 2025 03:06:53.123    02 Feb 2025 03:08:27.757      94.634305523    
02 Feb 2025 16:12:02.024    02 Feb 2025 16:13:15.756      73.732204176    
03 Feb 2025 02:53:54.495    03 Feb 2025 02:55:06.709      72.214531107    
03 Feb 2025 15:58:45.862    03 Feb 2025 16:00:08.680      82.818444120    
08 Feb 2025 03:22:25.927    08 Feb 2025 03:22:27.787      1.8597983639    
09 Feb 2025 03:08:22.046    09 Feb 2025 03:09:54.493      92.446932115    
09 Feb 2025 16:13:23.822    09 Feb 2025 16:14:29.105      65.283387539    
10 Feb 2025 02:55:11.640    10 Feb 2025 02:56:28.195      76.555382134    
10 Feb 2025 15:59:55.590    10 Feb 2025 16:01:17.124      81.534634950    
16 Feb 2025 03:08:50.198    16 Feb 2025 03:10:20.080      89.882118150    
16 Feb 2025 16:13:41.445    16 Feb 2025 16:14:42.774      61.328846903    
17 Feb 2025 02:55:30.235    17 Feb 2025 02:56:45.240      75.005544559    
17 Feb 2025 16:00:03.258    17 Feb 2025 16:01:22.632      79.374496546    
23 Feb 2025 03:08:12.883    23 Feb 2025 03:09:40.738      87.855641136    
23 Feb 2025 16:12:50.935    23 Feb 2025 16:13:54.587      63.651355554    
24 Feb 2025 02:54:45.977    24 Feb 2025 02:55:53.872      67.895207636    
24 Feb 2025 15:59:05.771    24 Feb 2025 16:00:22.339      76.567991765    
01 Mar 2025 03:20:45.641    01 Mar 2025 03:21:07.231      21.589625278    
02 Mar 2025 03:06:26.495    02 Mar 2025 03:07:52.669      86.174074304    
02 Mar 2025 16:10:50.393    02 Mar 2025 16:12:01.071      70.678867539    
03 Mar 2025 02:52:56.795    03 Mar 2025 02:53:48.861      52.065935405    
03 Mar 2025 15:57:01.160    03 Mar 2025 15:58:12.833      71.672756423    
08 Mar 2025 03:17:42.345    08 Mar 2025 03:18:31.974      49.628413108    
09 Mar 2025 03:03:28.688    09 Mar 2025 03:04:51.755      83.066881215    
09 Mar 2025 16:07:39.109    09 Mar 2025 16:08:57.958      78.848756338    
10 Mar 2025 15:53:49.289    10 Mar 2025 15:54:49.443      60.154464631    
15 Mar 2025 03:13:29.458    15 Mar 2025 03:14:37.844      68.385925528    
15 Mar 2025 16:17:47.447    15 Mar 2025 16:18:24.731      37.284001149    
16 Mar 2025 02:59:19.239    16 Mar 2025 03:00:33.737      74.498361256    
16 Mar 2025 16:03:17.296    16 Mar 2025 16:04:41.083      83.786296821    
17 Mar 2025 15:49:38.192    17 Mar 2025 15:50:00.193      22.001167503    
22 Mar 2025 03:08:04.785    22 Mar 2025 03:09:23.822      79.036927968    
22 Mar 2025 16:12:07.322    22 Mar 2025 16:13:20.658      73.335949914    
23 Mar 2025 02:54:02.068    23 Mar 2025 02:54:51.812      49.744168867    
23 Mar 2025 15:57:46.180    23 Mar 2025 15:59:05.864      79.683146300    
28 Mar 2025 03:16:08.489    28 Mar 2025 03:17:04.167      55.677368806    
28 Mar 2025 16:20:28.212    28 Mar 2025 16:20:38.699      10.486212862    
29 Mar 2025 03:01:30.080    29 Mar 2025 03:02:47.518      77.438068204    
29 Mar 2025 16:05:23.064    29 Mar 2025 16:06:51.710      88.646904007    
30 Mar 2025 15:51:11.957    30 Mar 2025 15:52:04.264      52.306195744    
04 Apr 2025 03:08:15.134    04 Apr 2025 03:09:35.032      79.897774674    
04 Apr 2025 16:12:13.759    04 Apr 2025 16:13:32.820      79.061108711    
05 Apr 2025 02:53:53.126    05 Apr 2025 02:54:42.501      49.374265736    
05 Apr 2025 15:57:33.675    05 Apr 2025 15:58:57.922      84.247299086    
10 Apr 2025 03:14:12.456    10 Apr 2025 03:15:20.792      68.336342589    
10 Apr 2025 16:18:18.763    10 Apr 2025 16:19:09.851      51.087675209    
11 Apr 2025 02:59:21.820    11 Apr 2025 03:00:37.724      75.904541393    
11 Apr 2025 16:03:12.075    11 Apr 2025 16:04:45.127      93.052895938    
12 Apr 2025 15:48:54.090    12 Apr 2025 15:49:25.176      31.085534720    
16 Apr 2025 03:19:23.881    16 Apr 2025 03:20:05.340      41.458796512    
17 Apr 2025 03:04:05.916    17 Apr 2025 03:05:31.087      85.170956631    
17 Apr 2025 16:08:01.657    17 Apr 2025 16:09:32.968      91.311433911    
18 Apr 2025 15:53:14.885    18 Apr 2025 15:54:25.348      70.462699619    
23 Apr 2025 03:08:01.749    23 Apr 2025 03:09:28.856      87.106932350    
23 Apr 2025 16:12:01.261    23 Apr 2025 16:13:24.434      83.173506253    
24 Apr 2025 02:53:14.052    24 Apr 2025 02:54:07.424      53.372405260    
24 Apr 2025 15:56:55.441    24 Apr 2025 15:58:19.444      84.003692481    
29 Apr 2025 03:11:08.655    29 Apr 2025 03:12:34.011      85.355104320    
29 Apr 2025 16:15:10.496    29 Apr 2025 16:16:21.516      71.020334016    
30 Apr 2025 02:56:02.106    30 Apr 2025 02:57:14.188      72.081552423    
30 Apr 2025 15:59:47.931    30 Apr 2025 16:01:16.750      88.819230068    
05 May 2025 03:13:26.015    05 May 2025 03:14:48.191      82.176290592    
05 May 2025 16:17:28.661    05 May 2025 16:18:25.564      56.903021294    
06 May 2025 02:58:04.801    06 May 2025 02:59:26.065      81.264017138    
06 May 2025 16:01:50.463    06 May 2025 16:03:19.725      89.262079960    
11 May 2025 03:14:53.089    11 May 2025 03:16:12.328      79.238930368    
11 May 2025 16:18:54.616    11 May 2025 16:19:37.942      43.325577525    
12 May 2025 02:59:19.844    12 May 2025 03:00:45.366      85.522460961    
12 May 2025 16:03:01.964    12 May 2025 16:04:29.565      87.601140153    
17 May 2025 03:15:28.711    17 May 2025 03:16:46.561      77.849558566    
17 May 2025 16:19:25.927    17 May 2025 16:20:00.495      34.567913739    
18 May 2025 02:59:45.878    18 May 2025 03:01:12.242      86.364137835    
18 May 2025 16:03:21.462    18 May 2025 16:04:46.572      85.110351071    
23 May 2025 03:15:11.833    23 May 2025 03:16:30.367      78.533213201    
23 May 2025 16:18:59.622    23 May 2025 16:19:35.560      35.937914229    
24 May 2025 02:59:21.950    24 May 2025 03:00:46.122      84.172219969    
24 May 2025 16:02:48.472    24 May 2025 16:04:10.720      82.248406601    


Number of events : 249


Observer: AustraliaImaging
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
03 Jun 2024 13:54:03.887    03 Jun 2024 13:55:20.738      76.850456977    
04 Jun 2024 13:45:14.305    04 Jun 2024 13:46:30.540      76.235383179    
07 Jun 2024 01:35:19.327    07 Jun 2024 01:36:10.126      50.799369277    
08 Jun 2024 01:26:06.244    08 Jun 2024 01:27:39.815      93.571045285    
09 Jun 2024 01:17:20.013    09 Jun 2024 01:18:41.979      81.966514396    
13 Jun 2024 13:59:41.800    13 Jun 2024 14:00:27.262      45.462459920    
14 Jun 2024 13:50:25.693    14 Jun 2024 13:51:49.276      83.583077684    
15 Jun 2024 13:41:38.217    15 Jun 2024 13:42:40.345      62.128079077    
18 Jun 2024 01:31:14.346    18 Jun 2024 01:32:26.924      72.578780539    
19 Jun 2024 01:22:05.989    19 Jun 2024 01:23:35.191      89.201926393    
20 Jun 2024 01:13:25.941    20 Jun 2024 01:14:14.622      48.681221064    
24 Jun 2024 13:54:32.143    24 Jun 2024 13:55:51.089      78.946708934    
25 Jun 2024 13:45:25.151    25 Jun 2024 13:46:48.727      83.575854579    
28 Jun 2024 01:35:18.993    28 Jun 2024 01:35:46.106      27.112743014    
29 Jun 2024 01:25:42.884    29 Jun 2024 01:27:06.718      83.834571240    
30 Jun 2024 01:16:41.884    30 Jun 2024 01:17:51.711      69.827647554    
04 Jul 2024 13:57:33.457    04 Jul 2024 13:58:42.939      69.482256146    
05 Jul 2024 13:48:10.830    05 Jul 2024 13:49:43.228      92.398163583    
06 Jul 2024 13:39:15.125    06 Jul 2024 13:40:14.225      59.099841001    
09 Jul 2024 01:28:06.469    09 Jul 2024 01:29:21.841      75.372073450    
10 Jul 2024 01:18:50.252    10 Jul 2024 01:20:06.680      76.427575923    
14 Jul 2024 13:59:25.026    14 Jul 2024 14:00:25.177      60.151284956    
15 Jul 2024 13:49:48.776    15 Jul 2024 13:51:24.984      96.207549667    
16 Jul 2024 13:40:39.234    16 Jul 2024 13:41:55.555      76.320739032    
19 Jul 2024 01:29:11.260    19 Jul 2024 01:30:21.975      70.714379568    
20 Jul 2024 01:19:43.366    20 Jul 2024 01:21:02.842      79.475801694    
24 Jul 2024 13:59:58.267    24 Jul 2024 14:00:54.764      56.496625766    
25 Jul 2024 13:50:11.668    25 Jul 2024 13:51:49.274      97.606158117    
26 Jul 2024 13:40:52.811    26 Jul 2024 13:42:13.338      80.527008022    
