DefaultSC.A1ModJulian,DefaultSC.EarthMJ2000Eq.X,DefaultSC.EarthMJ2000Eq.Y,DefaultSC.EarthMJ2000Eq.Z
29001.86733433537,4523.654989581824,5041.664208127249,-1599.787112179142
29001.8684309245,4460.483859523029,4829.867448571966,-2279.352206886964
29001.86952743104,4349.963195471039,4566.810457304141,-2934.601942063442
29001.87062378535,4193.268468780513,4255.297855399259,-3558.515516066843
29001.87172001004,3992.053619882647,3898.624638720693,-4144.455726367039
29001.87281604135,3748.458480168231,3500.591423785214,-4686.137312109821
29001.87391181794,3465.078301212164,3065.443874595595,-5177.748601906158
29001.87500728037,3144.935724781654,2597.82705392112,-5614.013431195318
29001.87610234155,2791.458181065274,2102.749201554169,-5990.238219861739
29001.8771969092,2408.436963292908,1585.520261703748,-6302.376495408994
29001.87829089346,1999.983711408494,1051.690708119562,-6547.076652280835
29001.87938419032,1570.492064447928,506.9991817768179,-6721.71636807707
29001.88047667671,1124.592863525908,-42.68742281662829,-6824.436488328355
29001.88105002484,885.4759829006127,-331.357748438823,-6849.186312037699
29001.88118239714,829.8737601585061,-397.8971323830823,-6852.030944103825
29001.8812936845,783.0270345858338,-453.7898864691899,-6853.5881867431
29001.88144469486,719.320891485129,-529.5513502288917,-6854.481995046191
29001.88192421681,516.1152502037967,-769.3342665842363,-6848.00873733586
29001.88264743444,207.7618319678867,-1127.817467004246,-6811.474284385082
29001.88368925603,-237.7710811883464,-1634.484283190916,-6702.534976982882
29001.88477183726,-698.2137195610203,-2144.003882030375,-6519.858093768238
29001.88585817721,-1152.834826786406,-2632.524091971357,-6267.1447824739
29001.88694372774,-1594.851108344645,-3092.662200359676,-5947.708001421594
29001.88802795404,-2019.348356939277,-3519.312996319285,-5565.160973346833
29001.88911077936,-2421.806014382906,-3907.957999550811,-5123.713697254178
29001.89019223481,-2797.991869189167,-4254.539120087045,-4628.16566108478
29001.89127236403,-3143.966886307705,-4555.458617294504,-4083.876821450834
29001.89235125769,-3456.135488796964,-4807.622826331729,-3496.688076786135
29001.89342899839,-3731.263387856945,-5008.45570217536,-2872.883046858742
29001.89450574934,-3966.53091120944,-5155.937986093854,-2219.067907754658
